"StateName","Year","ChildPopulation","ScreenInCount","ScreenInPercent","ScreenOutCount","ScreenOutPercent","ReferralCount","refProp","varProp","refRate","varRate"
"idaho",2009,419190,6966,46,8187,54,15153,0.0361482859801045,8.31164565013599e-08,36.1482859801045,0.0831164565013599
"idaho",2010,419190,6643,44.6,8244,55.4,14887,0.0355137288580357,8.17111665846839e-08,35.5137288580357,0.0817111665846839
"idaho",2011,428116,6545,44.1,8308,55.9,14853,0.0346938680170795,7.82269374167117e-08,34.6938680170795,0.0782269374167117
"illinois",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illinois",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illinois",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illinois",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"illinois",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"indiana",2007,1586518,41900,60.8,27071,39.2,68971,0.0434731909754569,2.62104007908315e-08,43.4731909754569,0.0262104007908315
"indiana",2008,1584681,66690,73.1,24548,26.9,91238,0.0575749945888163,3.42404020663554e-08,57.5749945888163,0.0342404020663554
"indiana",2009,1589365,67505,81.3,15541,18.7,83046,0.0522510562394415,3.115765312644e-08,52.2510562394415,0.03115765312644
"indiana",2010,1589365,66735,70.1,28413,29.9,95148,0.059865417949936,3.54113433249225e-08,59.865417949936,0.0354113433249225
"indiana",2011,1597603,61473,52.7,55153,47.3,116626,0.073000614044916,4.23581605655355e-08,73.000614044916,0.0423581605655355
"iowa",2007,711403,23093,58,16754,42,39847,0.0560118526348638,7.43242929805948e-08,56.0118526348638,0.0743242929805948
"iowa",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iowa",2009,713155,24940,58.7,17577,41.3,42517,0.0596181755719304,7.8613833897827e-08,59.6181755719304,0.078613833897827
"iowa",2010,713155,24982,58.1,18043,41.9,43025,0.0603305031865443,7.94928642045595e-08,60.3305031865443,0.0794928642045595
"iowa",2011,724370,28810,58.4,20545,41.6,49355,0.0681350690945235,8.76522791584522e-08,68.1350690945235,0.0876522791584522
"kansas",2007,696082,16912,53.9,14490,46.1,31402,0.0451125011133746,6.18854723389922e-08,45.1125011133746,0.0618854723389922
"kansas",2008,700485,16823,54.4,14126,45.6,30949,0.0441822451587115,6.02870502172737e-08,44.1822451587115,0.0602870502172737
"kansas",2009,704951,17942,54,15296,46,33238,0.0471493763396321,6.37296956106394e-08,47.1493763396321,0.0637296956106394
"kansas",2010,704951,17379,53.7,14998,46.3,32377,0.0459280148549332,6.21584086077163e-08,45.9280148549332,0.0621584086077163
"kansas",2011,723922,20566,59.8,13829,40.2,34395,0.0475120247761499,6.25131330140822e-08,47.5120247761499,0.0625131330140822
"kentucky",2007,1003973,48600,76.4,15012,23.6,63612,0.0633602696486858,5.91108982798657e-08,63.3602696486858,0.0591108982798657
"kentucky",2008,1008064,49976,69.7,21747,30.3,71723,0.0711492524284172,6.55583735827235e-08,71.1492524284172,0.0655583735827235
"kentucky",2009,1014323,47633,68.1,22352,31.9,69985,0.0689967594149004,6.33291432858594e-08,68.9967594149004,0.0633291432858594
"kentucky",2010,1014323,49141,67.3,23885,32.7,73026,0.0719948182186542,6.58681350697136e-08,71.9948182186542,0.0658681350697136
"kentucky",2011,1020955,49459,71.3,19901,28.7,69360,0.0679363928870518,6.20213813621051e-08,67.9363928870518,0.0620213813621051
"louisiana",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"louisiana",2008,1107973,21405,57.9,15533,42.1,36938,0.0333383575231526,2.90863689284947e-08,33.3383575231526,0.0290863689284947
"louisiana",2009,1123386,22804,60.8,14730,39.2,37534,0.033411489906408,2.87480547635826e-08,33.411489906408,0.0287480547635826
"louisiana",2010,1123386,21822,56.5,16820,43.5,38642,0.0343977938126343,2.9566494146676e-08,34.3977938126343,0.029566494146676
"louisiana",2011,1118196,26255,60.1,17410,39.9,43665,0.0390495047379887,3.35581963427758e-08,39.0495047379887,0.0335581963427758
"maine",2007,279467,6710,40.2,9968,59.8,16678,0.0596778868345815,2.0079807869101e-07,59.6778868345815,0.20079807869101
"maine",2008,274867,6216,38.4,9975,61.6,16191,0.0589048521648652,2.01679614345486e-07,58.9048521648652,0.201679614345486
"maine",2009,271176,6288,39.6,9604,60.4,15892,0.0586040062542408,2.03445646757802e-07,58.6040062542408,0.203445646757802
"maine",2010,271176,6077,39,9501,61,15578,0.057446086674337,1.99671186978721e-07,57.446086674337,0.199671186978721
"maine",2011,269218,6513,42,9003,58,15516,0.0576335906217266,2.01739704825732e-07,57.6335906217266,0.201739704825732
"maryland",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"maryland",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"maryland",2009,1351935,28929,53.9,24708,46.1,53637,0.0396742446937168,2.81819754660541e-08,39.6742446937168,0.0281819754660541
"maryland",2010,1351935,26294,58.3,18835,41.7,45129,0.0333810427276459,2.38670858540248e-08,33.3810427276459,0.0238670858540248
"maryland",2011,1346635,27315,51.1,26112,48.9,53427,0.0396744477902327,2.82930311352169e-08,39.6744477902327,0.0282930311352169
"massachusetts",2007,1432856,39801,58.7,27992,41.3,67793,0.0473131982557912,3.14579130956631e-08,47.3131982557912,0.0314579130956631
"massachusetts",2008,1427033,44307,62,27123,38,71430,0.0500549041262536,3.33204703038858e-08,50.0549041262536,0.0333204703038858
"massachusetts",2009,1433002,42447,60.3,27915,39.7,70362,0.0491011177932759,3.25820885279482e-08,49.1011177932759,0.0325820885279482
"massachusetts",2010,1433002,39825,55.3,32210,44.7,72035,0.0502685969733469,3.33158398464748e-08,50.2685969733469,0.0333158398464748
"massachusetts",2011,1405015,37799,51.6,35495,48.4,73294,0.0521659911104152,3.5191581927512e-08,52.1659911104152,0.035191581927512
"michigan",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"michigan",2008,2390198,71820,61.5,44910,38.5,116730,0.0488369582770967,1.94343354748593e-08,48.8369582770967,0.0194343354748593
"michigan",2009,2349892,75441,62.4,45536,37.6,120977,0.0514819404466248,2.07803380982934e-08,51.4819404466248,0.0207803380982934
"michigan",2010,2349892,77286,66.5,38862,33.5,116148,0.0494269523875991,1.99940800535825e-08,49.4269523875991,0.0199940800535825
"michigan",2011,2295812,83320,67.4,40246,32.6,123566,0.0538223513075112,2.21819146372796e-08,53.8223513075112,0.0221819146372796
"minnesota",2007,1260282,18993,33.6,37588,66.4,56581,0.0448955075133978,3.40240524886591e-08,44.8955075133978,0.0340240524886591
"minnesota",2008,1254644,18608,34.9,34731,65.1,53339,0.0425132547559308,3.24441657760991e-08,42.5132547559308,0.0324441657760991
"minnesota",2009,1260797,17678,32.8,36232,67.2,53910,0.0427586677316015,3.24638812318081e-08,42.7586677316015,0.0324638812318081
"minnesota",2010,1260797,17803,31.9,38085,68.1,55888,0.0443275166422509,3.35998482789711e-08,44.3275166422509,0.0335998482789711
"minnesota",2011,1277526,18186,31.3,39999,68.7,58185,0.0455450613138206,3.40272594872754e-08,45.5450613138206,0.0340272594872754
"mississippi",2007,768704,17871,66.3,9093,33.7,26964,0.0350772208808592,4.40310047250107e-08,35.0772208808592,0.0440310047250107
"mississippi",2008,766720,19063,63.8,10827,36.2,29890,0.0389842445742905,4.88633050517299e-08,38.9842445742905,0.0488633050517299
"mississippi",2009,767742,19717,65,10595,35,30312,0.0394820134889064,4.93957398445939e-08,39.4820134889064,0.0493957398445939
