"CountyID","CountyName","ReferralYear","Count"
28,"Greer",2008,139
28,"Greer",2009,134
28,"Greer",2010,109
28,"Greer",2011,76
29,"Harmon",1976,1
29,"Harmon",1997,5
29,"Harmon",2000,20
29,"Harmon",2001,9
29,"Harmon",2002,5
29,"Harmon",2004,3
29,"Harmon",2005,6
29,"Harmon",2006,64
29,"Harmon",2007,18
29,"Harmon",2008,54
29,"Harmon",2009,57
29,"Harmon",2010,52
29,"Harmon",2011,29
30,"Harper",1996,1
30,"Harper",1999,1
30,"Harper",2002,2
30,"Harper",2003,6
30,"Harper",2004,4
30,"Harper",2005,4
30,"Harper",2006,8
30,"Harper",2007,17
30,"Harper",2008,10
30,"Harper",2009,37
30,"Harper",2010,9
30,"Harper",2011,14
31,"Haskell",1993,1
31,"Haskell",1995,7
31,"Haskell",1997,5
31,"Haskell",1999,2
31,"Haskell",2000,12
31,"Haskell",2001,27
31,"Haskell",2002,31
31,"Haskell",2003,22
31,"Haskell",2004,16
31,"Haskell",2005,18
31,"Haskell",2006,62
31,"Haskell",2007,69
31,"Haskell",2008,72
31,"Haskell",2009,45
31,"Haskell",2010,54
31,"Haskell",2011,37
32,"Hughes",1997,9
32,"Hughes",1998,12
32,"Hughes",1999,15
32,"Hughes",2000,26
32,"Hughes",2001,24
32,"Hughes",2002,7
32,"Hughes",2003,21
32,"Hughes",2004,52
32,"Hughes",2005,70
32,"Hughes",2006,84
32,"Hughes",2007,124
32,"Hughes",2008,227
32,"Hughes",2009,160
32,"Hughes",2010,65
32,"Hughes",2011,52
33,"Jackson",1982,2
33,"Jackson",1983,3
33,"Jackson",1986,3
33,"Jackson",1987,2
33,"Jackson",1988,4
33,"Jackson",1991,2
33,"Jackson",1992,1
33,"Jackson",1993,2
33,"Jackson",1995,2
33,"Jackson",1996,18
33,"Jackson",1997,5
33,"Jackson",1998,11
33,"Jackson",1999,22
33,"Jackson",2000,18
33,"Jackson",2001,11
33,"Jackson",2002,52
33,"Jackson",2003,50
33,"Jackson",2004,109
33,"Jackson",2005,197
33,"Jackson",2006,369
33,"Jackson",2007,244
33,"Jackson",2008,213
33,"Jackson",2009,258
33,"Jackson",2010,248
33,"Jackson",2011,133
34,"Jefferson",1994,1
34,"Jefferson",1995,1
34,"Jefferson",1997,2
34,"Jefferson",1998,2
34,"Jefferson",1999,7
34,"Jefferson",2001,4
34,"Jefferson",2002,1
34,"Jefferson",2003,13
34,"Jefferson",2004,7
34,"Jefferson",2005,19
34,"Jefferson",2006,16
34,"Jefferson",2007,22
34,"Jefferson",2008,16
34,"Jefferson",2009,6
34,"Jefferson",2010,8
34,"Jefferson",2011,10
35,"Johnston",1997,5
35,"Johnston",1998,2
35,"Johnston",1999,2
35,"Johnston",2000,3
35,"Johnston",2001,12
35,"Johnston",2002,6
35,"Johnston",2003,74
35,"Johnston",2004,9
35,"Johnston",2005,78
35,"Johnston",2006,62
35,"Johnston",2007,39
35,"Johnston",2008,61
35,"Johnston",2009,49
35,"Johnston",2010,29
35,"Johnston",2011,24
36,"Kay",1983,2
36,"Kay",1987,2
36,"Kay",1988,2
36,"Kay",1989,1
36,"Kay",1992,2
36,"Kay",1993,7
36,"Kay",1994,2
36,"Kay",1995,17
36,"Kay",1996,15
36,"Kay",1997,27
36,"Kay",1998,28
36,"Kay",1999,25
36,"Kay",2000,53
36,"Kay",2001,99
36,"Kay",2002,148
36,"Kay",2003,132
36,"Kay",2004,209
36,"Kay",2005,360
36,"Kay",2006,552
36,"Kay",2007,540
36,"Kay",2008,486
36,"Kay",2009,360
36,"Kay",2010,341
36,"Kay",2011,182
37,"Kingfisher",1980,3
37,"Kingfisher",1985,1
37,"Kingfisher",1991,1
37,"Kingfisher",1993,2
37,"Kingfisher",1994,5
37,"Kingfisher",1995,4
37,"Kingfisher",1998,1
37,"Kingfisher",1999,3
37,"Kingfisher",2000,16
37,"Kingfisher",2001,8
37,"Kingfisher",2002,8
37,"Kingfisher",2003,10
37,"Kingfisher",2004,60
37,"Kingfisher",2005,37
37,"Kingfisher",2006,75
37,"Kingfisher",2007,82
37,"Kingfisher",2008,36
37,"Kingfisher",2009,49
37,"Kingfisher",2010,57
37,"Kingfisher",2011,76
38,"Kiowa",1987,1
38,"Kiowa",1997,6
38,"Kiowa",1999,9
38,"Kiowa",2000,7
38,"Kiowa",2001,21
38,"Kiowa",2002,8
38,"Kiowa",2003,8
38,"Kiowa",2004,52
38,"Kiowa",2005,36
38,"Kiowa",2006,76
38,"Kiowa",2007,52
38,"Kiowa",2008,72
38,"Kiowa",2009,25
38,"Kiowa",2010,21
38,"Kiowa",2011,8
39,"Latimer",1990,2
39,"Latimer",1992,1
39,"Latimer",1995,1
39,"Latimer",1998,5
39,"Latimer",1999,11
39,"Latimer",2000,4
39,"Latimer",2001,14
39,"Latimer",2002,21
39,"Latimer",2003,47
39,"Latimer",2004,7
39,"Latimer",2005,45
39,"Latimer",2006,103
39,"Latimer",2007,118
39,"Latimer",2008,107
39,"Latimer",2009,97
39,"Latimer",2010,80
39,"Latimer",2011,28
40,"Le Flore",1939,3
40,"Le Flore",1985,2
40,"Le Flore",1986,2
