"CountyName","Year","PopTotal"
"Haskell","2003",11870
"Hughes","2003",13833
"Jackson","2003",27203
"Jefferson","2003",6466
"Johnston","2003",10351
"Kay","2003",47107
"Kingfisher","2003",13961
"Kiowa","2003",9859
"Latimer","2003",10496
"Le Flore","2003",48429
"Lincoln","2003",32064
"Logan","2003",35393
"Love","2003",8843
"McClain","2003",28575
"McCurtain","2003",33773
"McIntosh","2003",19472
"Major","2003",7301
"Marshall","2003",13629
"Mayes","2003",38660
"Murray","2003",12565
"Muskogee","2003",69950
"Noble","2003",11237
"Nowata","2003",10776
"Okfuskee","2003",11538
"Oklahoma","2003",676646
"Okmulgee","2003",39582
"Osage","2003",44842
"Ottawa","2003",32411
"Pawnee","2003",16616
"Payne","2003",74873
"Pittsburg","2003",43688
"Pontotoc","2003",35146
"Pottawatomie","2003",67544
"Pushmataha","2003",11535
"Roger Mills","2003",3154
"Rogers","2003",76890
"Seminole","2003",24093
"Sequoyah","2003",39634
"Stephens","2003",42255
"Texas","2003",19847
"Tillman","2003",8747
"Tulsa","2003",569584
"Wagoner","2003",61085
"Washington","2003",48911
"Washita","2003",11226
"Woods","2003",8641
"Woodward","2003",18416
"Adair","2002",21179
"Alfalfa","2002",5886
"Atoka","2002",13987
"Beaver","2002",5564
"Beckham","2002",19849
"Blaine","2002",11628
"Bryan","2002",36768
"Caddo","2002",29828
"Canadian","2002",90699
"Carter","2002",45887
"Cherokee","2002",43518
"Choctaw","2002",15248
"Cimarron","2002",2974
"Cleveland","2002",215733
"Coal","2002",5931
"Comanche","2002",112009
"Cotton","2002",6375
"Craig","2002",14742
"Creek","2002",68346
"Custer","2002",25195
"Delaware","2002",37935
"Dewey","2002",4513
"Ellis","2002",3954
"Garfield","2002",57115
"Garvin","2002",27040
"Grady","2002",46620
"Grant","2002",4931
"Greer","2002",5861
"Harmon","2002",3050
"Harper","2002",3414
"Haskell","2002",11728
"Hughes","2002",13934
"Jackson","2002",27347
"Jefferson","2002",6508
"Johnston","2002",10386
"Kay","2002",47529
"Kingfisher","2002",13816
"Kiowa","2002",9949
"Latimer","2002",10577
"Le Flore","2002",48337
"Lincoln","2002",32090
"Logan","2002",34703
"Love","2002",8793
"McClain","2002",28018
"McCurtain","2002",33915
"McIntosh","2002",19501
"Major","2002",7474
"Marshall","2002",13533
"Mayes","2002",38476
"Murray","2002",12581
"Muskogee","2002",69508
"Noble","2002",11266
"Nowata","2002",10552
"Okfuskee","2002",11569
"Oklahoma","2002",672324
"Okmulgee","2002",39515
"Osage","2002",44877
"Ottawa","2002",32625
"Pawnee","2002",16732
"Payne","2002",72926
"Pittsburg","2002",43767
"Pontotoc","2002",35010
"Pottawatomie","2002",66614
"Pushmataha","2002",11607
"Roger Mills","2002",3195
"Rogers","2002",74960
"Seminole","2002",24193
"Sequoyah","2002",39401
