"CountyID","CountyName","Abuse","Neglect","SexualAbuse","Count"
49,"Mayes",0,0,1,65
49,"Mayes",0,1,0,1603
49,"Mayes",0,1,1,9
49,"Mayes",1,0,0,112
49,"Mayes",1,0,1,2
49,"Mayes",1,1,0,142
49,"Mayes",1,1,1,4
50,"Murray",0,0,1,4
50,"Murray",0,1,0,132
50,"Murray",0,1,1,2
50,"Murray",1,0,0,17
50,"Murray",1,1,0,5
51,"Muskogee",0,0,0,32
51,"Muskogee",0,0,1,61
51,"Muskogee",0,1,0,2378
51,"Muskogee",0,1,1,27
51,"Muskogee",1,0,0,260
51,"Muskogee",1,0,1,4
51,"Muskogee",1,1,0,184
51,"Muskogee",1,1,1,6
52,"Noble",0,0,0,6
52,"Noble",0,0,1,8
52,"Noble",0,1,0,401
52,"Noble",0,1,1,11
52,"Noble",1,0,0,44
52,"Noble",1,0,1,2
52,"Noble",1,1,0,20
53,"Nowata",0,0,0,4
53,"Nowata",0,0,1,15
53,"Nowata",0,1,0,876
53,"Nowata",0,1,1,6
53,"Nowata",1,0,0,55
53,"Nowata",1,0,1,1
53,"Nowata",1,1,0,52
54,"Okfuskee",0,0,0,11
54,"Okfuskee",0,0,1,12
54,"Okfuskee",0,1,0,525
54,"Okfuskee",0,1,1,10
54,"Okfuskee",1,0,0,64
54,"Okfuskee",1,1,0,77
54,"Okfuskee",1,1,1,2
55,"Oklahoma",0,0,0,158
55,"Oklahoma",0,0,1,928
55,"Oklahoma",0,1,0,26177
55,"Oklahoma",0,1,1,644
55,"Oklahoma",1,0,0,2703
55,"Oklahoma",1,0,1,62
55,"Oklahoma",1,1,0,2792
55,"Oklahoma",1,1,1,105
56,"Okmulgee",0,0,0,26
56,"Okmulgee",0,0,1,50
56,"Okmulgee",0,1,0,1857
56,"Okmulgee",0,1,1,37
56,"Okmulgee",1,0,0,149
56,"Okmulgee",1,0,1,2
56,"Okmulgee",1,1,0,152
56,"Okmulgee",1,1,1,2
57,"Osage",0,0,0,24
57,"Osage",0,0,1,31
57,"Osage",0,1,0,1178
57,"Osage",0,1,1,13
57,"Osage",1,0,0,120
57,"Osage",1,0,1,3
57,"Osage",1,1,0,97
57,"Osage",1,1,1,1
58,"Ottawa",0,0,0,5
58,"Ottawa",0,0,1,71
58,"Ottawa",0,1,0,1180
58,"Ottawa",0,1,1,29
58,"Ottawa",1,0,0,163
58,"Ottawa",1,0,1,3
58,"Ottawa",1,1,0,103
58,"Ottawa",1,1,1,4
59,"Pawnee",0,0,0,13
59,"Pawnee",0,0,1,10
59,"Pawnee",0,1,0,596
59,"Pawnee",0,1,1,1
59,"Pawnee",1,0,0,44
59,"Pawnee",1,1,0,27
60,"Payne",0,0,0,29
60,"Payne",0,0,1,97
60,"Payne",0,1,0,3014
60,"Payne",0,1,1,51
60,"Payne",1,0,0,323
60,"Payne",1,0,1,14
60,"Payne",1,1,0,182
60,"Payne",1,1,1,5
61,"Pittsburg",0,0,0,67
61,"Pittsburg",0,0,1,66
61,"Pittsburg",0,1,0,3042
61,"Pittsburg",0,1,1,47
61,"Pittsburg",1,0,0,313
61,"Pittsburg",1,0,1,7
61,"Pittsburg",1,1,0,267
61,"Pittsburg",1,1,1,2
62,"Pontotoc",0,0,0,23
62,"Pontotoc",0,0,1,25
62,"Pontotoc",0,1,0,608
62,"Pontotoc",0,1,1,3
