,<1,,,1,,,2,,,3,,,4–7,,,8–11,,,12–15,,,16–17,,,Unknown and 18–21,, Total Unique Victims 
State, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Number ,Percent,
Puerto Rico," 45,100 ", 281 ,2.5," 45,304 ", 604 ,5.5," 46,443 ", 751 ,6.8," 47,994 ", 691 ,6.3," 198,751 "," 2,615 ",23.7," 223,623 "," 2,386 ",21.6," 238,681 "," 2,605 ",23.6," 117,951 ", 979 ,8.9, 118 ,1.1," 11,030 "
Rhode Island," 12,228 ", 505 ,15.3," 12,084 ", 259 ,7.9," 12,251 ", 276 ,8.4," 11,957 ", 243 ,7.4," 48,388 ", 787 ,23.9," 49,256 ", 577 ,17.5," 52,317 ", 454 ,13.8," 28,344 ", 181 ,5.5, 13 ,0.4," 3,295 "
South Carolina," 60,666 "," 1,516 ",12.8," 62,138 ", 895 ,7.6," 65,805 ", 944 ,8.0," 62,196 ", 834 ,7.1," 238,355 "," 2,708 ",22.9," 234,672 "," 2,210 ",18.7," 232,141 "," 1,880 ",15.9," 124,759 ", 563 ,4.8, 252 ,2.1," 11,802 "
South Dakota," 12,342 ", 191 ,14.0," 12,070 ", 140 ,10.3," 12,233 ", 120 ,8.8," 11,512 ", 117 ,8.6," 44,043 ", 342 ,25.1," 41,779 ", 228 ,16.8," 42,790 ", 165 ,12.1," 22,847 ", 43 ,3.2, 14 ,1.0," 1,360 "
Tennessee," 85,091 "," 1,482 ",16.9," 87,117 ", 495 ,5.7," 86,558 ", 479 ,5.5," 84,513 ", 489 ,5.6," 327,763 "," 1,820 ",20.8," 326,450 "," 1,562 ",17.8," 325,930 "," 1,724 ",19.7," 169,830 ", 670 ,7.6, 39 ,0.4," 8,760 "
Texas," 413,480 "," 9,433 ",14.5," 417,476 "," 5,579 ",8.6," 416,836 "," 5,512 ",8.5," 414,474 "," 5,058 ",7.8," 1,623,301 "," 16,568 ",25.5," 1,480,240 "," 11,598 ",17.9," 1,411,297 "," 8,469 ",13.0," 718,865 "," 2,453 ",3.8, 267 ,0.4," 64,937 "
Utah," 57,018 "," 1,158 ",9.0," 55,948 ", 925 ,7.2," 54,966 ", 874 ,6.8," 54,014 ", 906 ,7.0," 204,963 "," 3,102 ",24.1," 187,101 "," 2,503 ",19.5," 170,107 "," 2,476 ",19.3," 84,707 ", 898 ,7.0, 12 ,0.1," 12,854 "
Vermont," 6,509 ", 28 ,4.3," 6,581 ", 28 ,4.3," 6,678 ", 17 ,2.6," 6,232 ", 30 ,4.6," 26,315 ", 122 ,18.5," 27,254 ", 156 ,23.7," 29,993 ", 198 ,30.1," 16,713 ", 79 ,12.0,,0.0, 658 
Virginia," 106,950 ", 707 ,11.0," 107,466 ", 474 ,7.3," 108,497 ", 468 ,7.3," 105,934 ", 458 ,7.1," 415,201 "," 1,508 ",23.4," 397,132 "," 1,181 ",18.3," 397,550 "," 1,113 ",17.3," 208,452 ", 429 ,6.7, 111 ,1.7," 6,449 "
Washington," 89,453 ", 772 ,11.7," 91,464 ", 577 ,8.8," 92,441 ", 511 ,7.8," 90,301 ", 481 ,7.3," 344,958 "," 1,586 ",24.1," 339,223 "," 1,181 ",17.9," 339,996 "," 1,097 ",16.6," 181,756 ", 365 ,5.5, 23 ,0.3," 6,593 "
West Virginia," 20,512 ", 501 ,12.6," 21,379 ", 284 ,7.2," 21,975 ", 276 ,7.0," 21,275 ", 265 ,6.7," 84,987 ", 971 ,24.5," 83,950 ", 784 ,19.8," 86,330 ", 598 ,15.1," 46,041 ", 209 ,5.3, 73 ,1.8," 3,961 "
Wisconsin," 73,086 ", 467 ,10.2," 73,403 ", 310 ,6.8," 74,102 ", 319 ,7.0," 72,192 ", 311 ,6.8," 285,357 "," 1,110 ",24.3," 283,734 ", 884 ,19.3," 291,997 ", 826 ,18.1," 156,379 ", 304 ,6.7, 38 ,0.8," 4,569 "
Wyoming," 8,200 ", 77 ,10.6," 8,342 ", 57 ,7.9," 8,302 ", 52 ,7.2," 7,889 ", 68 ,9.4," 29,360 ", 209 ,28.8," 27,525 ", 138 ,19.0," 27,571 ", 85 ,11.7," 14,836 ", 37 ,5.1, 2 ,0.3, 725 
